ID;City;Weekdays_WE;Price;room_type;room_shared;room_private;person_capacity;host_is_superhost;multi_room;Buisness_noBuisness;cleanliness_rating;guest_satisfaction_overall;bedrooms;Center_dist;metro_dist;lng;lat
22846;Berlin;Weekdays;211,9753202;Private room;False;True;3;False;1;0;9;100;1;5,25806305;0,339498313;13,42697;52,47659
22847;Berlin;Weekdays;319,2483874;Entire home/apt;False;False;2;False;1;0;8;90;1;0,925456838;0,337820469;13,40531;52,52813
22848;Berlin;Weekdays;163,5972703;Private room;False;True;3;False;1;0;9;87;1;6,057451261;0,380398234;13,43655;52,47036
22849;Berlin;Weekdays;115,9203515;Private room;False;True;2;False;0;0;9;100;1;6,104924245;0,894901497;13,32675;52,5202
22850;Berlin;Weekdays;133,2149201;Private room;False;True;3;False;0;0;10;93;1;6,505287495;0,923016952;13,41836;52,46496
22851;Berlin;Weekdays;106,8056464;Private room;False;True;2;False;0;0;10;100;1;5,65065864;0,271398385;13,42426;52,47285
22852;Berlin;Weekdays;498,5042535;Entire home/apt;False;False;4;False;0;0;10;100;2;5,076159197;0,226636436;13,34199;52,51981
22853;Berlin;Weekdays;780,3589792;Entire home/apt;False;False;2;True;0;1;10;100;1;2,095209535;0,060046398;13,397;52,538
22854;Berlin;Weekdays;260,8207909;Entire home/apt;False;False;3;False;0;0;10;100;1;2,844176904;0,623884708;13,405;52,548
22855;Berlin;Weekdays;150,743199;Private room;False;True;2;False;0;0;8;80;1;0,409957596;0,101929642;13,41094;52,52207
22856;Berlin;Weekdays;185,5660466;Private room;False;True;2;False;1;0;10;100;1;0,687050935;0,129266574;13,40895;52,5275
22857;Berlin;Weekdays;162,4287183;Private room;False;True;2;False;1;0;10;100;1;4,092127647;0,963979136;13,35636;52,52125
22858;Berlin;Weekdays;245,8633262;Entire home/apt;False;False;4;False;0;0;10;100;2;4,326817003;1,029887938;13,39161;52,55922
22859;Berlin;Weekdays;266,6635505;Private room;False;True;4;False;1;0;10;100;2;1,875275937;0,225250591;13,3998;52,53683
22860;Berlin;Weekdays;231,840703;Entire home/apt;False;False;4;False;1;0;9;88;1;5,715965469;0,126266025;13,4289;52,4726
22861;Berlin;Weekdays;134,6171824;Private room;False;True;2;False;1;0;10;91;1;6,455196209;1,137766821;13,4148;52,46541
22862;Berlin;Weekdays;150,743199;Private room;False;True;2;False;1;0;9;94;1;5,396903076;0,483994233;13,3522;52,49494
22863;Berlin;Weekdays;163,5972703;Private room;False;True;2;False;0;1;9;93;1;2,611915683;0,317396871;13,38969;52,54024
22864;Berlin;Weekdays;438,4406843;Entire home/apt;False;False;5;False;0;0;10;94;1;2,033588233;0,034000067;13,39693;52,53724
22865;Berlin;Weekdays;504,5807236;Entire home/apt;False;False;2;False;0;0;10;97;1;1,619323752;0,341894027;13,39632;52,53114
22866;Berlin;Weekdays;388,6603721;Private room;False;True;2;False;0;0;9;100;1;1,837299707;0,207385266;13,38993;52,52642
22867;Berlin;Weekdays;154,0151444;Private room;False;True;2;False;0;0;10;96;1;5,125307688;0,251113006;13,35474;52,49697
22868;Berlin;Weekdays;172,7119753;Private room;False;True;2;True;0;0;10;96;1;4,830246025;0,342702178;13,35037;52,53942
22869;Berlin;Weekdays;240,2542769;Entire home/apt;False;False;2;False;1;0;10;90;1;4,842977961;1,3669304;13,453;52,486
22870;Berlin;Weekdays;220,3888941;Entire home/apt;False;False;3;False;0;0;9;97;1;6,00089263;0,319873929;13,44375;52,4721
22871;Berlin;Weekdays;185,5660466;Private room;False;True;2;True;0;0;10;97;1;2,299401178;0,413921774;13,38705;52,53359
22872;Berlin;Weekdays;127,6058708;Private room;False;True;2;False;0;0;9;87;1;0,616745505;0,185893984;13,40931;52,52677
22873;Berlin;Weekdays;146,3027017;Private room;False;True;2;False;0;0;9;93;1;5,129915819;0,072278529;13,34165;52,51723
22874;Berlin;Weekdays;191,4088062;Private room;False;True;4;False;0;0;9;93;1;1,164604557;0,181737897;13,41033;52,53318
22875;Berlin;Weekdays;144,9004394;Private room;False;True;2;True;0;0;10;99;1;1,888431548;0,201683422;13,4118;52,54015
22876;Berlin;Weekdays;357,1094699;Entire home/apt;False;False;2;True;1;0;10;96;1;0,680205173;0,250287978;13,41529;52,51736
22877;Berlin;Weekdays;236,5149107;Entire home/apt;False;False;2;False;1;0;8;86;1;2,733474799;0,686920908;13,40466;52,5469
22878;Berlin;Weekdays;314,1067589;Entire home/apt;False;False;4;False;1;0;9;98;1;1,587175204;0,62567278;13,40582;52,5361
22879;Berlin;Weekdays;527,7180518;Entire home/apt;False;False;6;True;0;0;10;98;2;1,109908686;0,349487554;13,40742;52,5317
22880;Berlin;Weekdays;136,9542862;Private room;False;True;2;True;0;0;10;99;1;1,667940733;0,401771281;13,40006;52,53454
22881;Berlin;Weekdays;109,1427503;Private room;False;True;2;False;0;0;10;96;1;5,284607135;0,320475081;13,35252;52,49641
22882;Berlin;Weekdays;730,5786669;Entire home/apt;False;False;6;False;1;0;9;93;0;3,703825914;0,312995112;13,42465;52,4905
22883;Berlin;Weekdays;185,5660466;Private room;False;True;2;False;0;0;10;96;1;6,32039696;1,135716207;13,32342;52,52293
22884;Berlin;Weekdays;252,8746377;Entire home/apt;False;False;3;True;0;0;10;95;0;4,77861947;0,433920839;13,34786;52,53289
22885;Berlin;Weekdays;292,371693;Entire home/apt;False;False;2;False;0;0;8;89;1;1,284453521;0,372469707;13,40746;52,53355
22886;Berlin;Weekdays;180,8918388;Private room;False;True;3;False;0;1;9;92;1;5,204338777;0,367924745;13,426;52,477
22887;Berlin;Weekdays;169,4400299;Private room;False;True;4;False;0;1;9;84;1;5,204345935;0,36793173;13,426;52,477
22888;Berlin;Weekdays;240,9554081;Private room;False;True;5;False;0;1;7;75;1;5,204343206;0,367929106;13,426;52,477
22889;Berlin;Weekdays;186,5008881;Entire home/apt;False;False;2;True;0;0;10;98;1;16,42928463;7,758495604;13,62419;52,44764
22890;Berlin;Weekdays;108,9090399;Private room;False;True;3;False;0;0;8;94;1;14,81886079;1,907269553;13,63491;52,5212
22891;Berlin;Weekdays;173,8805273;Private room;False;True;5;False;0;0;8;91;2;6,055511696;0,201523573;13,44032;52,47096
22892;Berlin;Weekdays;178,554735;Private room;False;True;4;False;0;0;9;94;1;5,930735149;0,415552972;13,3454;52,5544
